
Monde 200 200 
Beauce 0 0 50 50 
Energie Nourriture 5 
Seuil Reproduction 100 


(81 48) 5 22 | 14 64 87 57 36 69 84 83 | 
(118 139) 0 77 | 87 77 2 82 52 26 61 41 | 
(114 109) 6 339 | 94 96 79 71 8 31 89 31 | 
(35 93) 3 158 | 55 68 34 98 63 24 52 49 | 
(47 190) 1 58 | 4 37 23 99 45 68 19 64 | 
(188 108) 6 182 | 33 54 28 90 17 90 96 13 | 
(148 180) 3 193 | 21 17 56 35 78 50 58 21 | 
(92 58) 5 109 | 20 12 69 57 79 47 51 60 | 
(24 192) 6 54 | 73 50 81 37 47 37 62 83 | 
(17 88) 6 66 | 97 10 27 94 8 43 68 95 | 
(10 83) 6 369 | 28 15 86 53 83 44 61 30 | 
(57 52) 7 120 | 88 45 5 68 58 34 29 22 | 
(19 180) 3 165 | 12 100 53 29 17 13 58 76 | 
(57 197) 3 307 | 68 3 88 83 65 84 18 62 | 
(133 62) 4 315 | 16 56 49 87 20 24 89 7 | 
(158 42) 3 52 | 89 70 32 32 9 97 80 100 | 
(90 64) 5 361 | 50 66 94 1 84 60 75 47 | 
(166 85) 4 178 | 95 99 56 13 71 73 68 58 | 
(71 60) 4 169 | 80 64 56 87 67 93 92 73 | 
(166 91) 7 140 | 68 21 68 90 1 14 64 92 | 
(172 142) 1 263 | 90 2 65 22 60 8 80 19 | 
(14 46) 6 133 | 90 70 27 23 47 87 3 70 | 
(48 63) 1 384 | 13 76 62 59 58 98 20 13 | 
(195 171) 2 64 | 48 71 59 39 4 52 37 53 | 
(149 70) 3 109 | 92 42 70 24 8 7 99 10 | 
(181 185) 1 163 | 20 46 16 92 96 85 10 47 | 
(139 157) 4 330 | 11 50 36 56 96 12 70 47 | 
(17 148) 0 219 | 100 93 50 43 15 53 57 97 | 
(0 163) 0 63 | 68 32 98 60 90 90 13 32 | 
(120 120) 0 337 | 18 5 93 99 85 31 34 55 | 
(170 75) 2 367 | 16 69 62 53 32 85 56 47 | 
(37 38) 0 305 | 28 59 69 90 92 36 11 10 | 
(115 53) 0 164 | 14 27 1 10 27 36 32 51 | 
(59 162) 7 361 | 94 73 83 42 36 44 30 91 | 
(164 20) 2 364 | 38 1 82 70 64 11 52 1 | 
(151 18) 3 187 | 28 19 72 24 6 87 67 10 | 
