
Monde 50 50 
Beauce 0 0 0 0 
Energie Nourriture 50  
Seuil Reproduction 100 


(75 349) 0 99 | 33 68 11 44 87 50 61 57 | 
(295 379) 4 5 | 39 69 53 64 75 62 51 28 | 
(470 356) 1 2 | 49 8 64 73 43 61 50 88 | 
(284 355) 1 9 | 83 98 34 31 38 100 100 24 | 
(87 255) 2 50 | 100 19 52 20 49 95 97 23 | 
(457 21) 3 40 | 68 62 75 41 87 58 100 31 | 
(415 203) 7 30 | 31 89 12 31 54 49 43 11 | 
(123 478) 7 70 | 23 14 8 47 48 3 60 76 | 
(7 210) 2 45 | 16 25 100 5 86 24 36 96 | 
(193 330) 6 41 | 83 14 85 66 59 47 51 5 | 
(410 332) 2 99 | 1 23 41 45 53 43 90 33 | 
(350 118) 3 33 | 5 75 72 73 42 78 45 23 | 
(230 352) 5 84 | 53 18 21 36 84 71 13 60 | 
(276 477) 2 31 | 4 94 75 9 27 89 99 19 | 
(334 110) 1 73 | 40 91 2 45 54 3 94 50 | 
(383 145) 0 37 | 19 12 72 94 28 68 51 62 | 
(391 467) 4 98 | 13 93 98 79 100 79 63 40 | 
(71 47) 6 52 | 43 71 47 25 94 80 8 37 | 
(494 344) 2 40 | 8 73 82 99 14 100 90 62 | 
(315 175) 1 76 | 3 24 6 61 62 21 1 52 | 
(389 228) 3 62 | 80 96 45 21 17 11 85 79 | 
(435 147) 4 64 | 23 25 7 14 62 65 36 93 | 
(277 275) 3 20 | 56 7 40 79 72 19 95 62 | 
(174 76) 2 89 | 3 55 78 94 37 90 69 33 | 
(384 89) 6 22 | 94 28 85 31 42 88 29 77 | 
(212 77) 2 84 | 48 55 23 98 54 78 50 18 | 
(342 315) 6 81 | 82 63 24 63 7 75 32 31 | 
(286 234) 0 92 | 45 85 40 28 2 60 83 34 | 
(4 480) 7 70 | 4 37 10 97 31 77 43 21 | 
(249 18) 2 54 | 97 31 80 30 68 35 40 91 | 
(92 425) 2 45 | 82 48 60 87 43 76 27 11 | 
(190 281) 0 22 | 90 40 88 67 16 74 26 90 | 
(64 275) 7 23 | 80 35 10 15 12 15 17 93 | 
(351 174) 7 66 | 27 29 79 13 7 77 27 68 | 
(42 266) 2 47 | 46 34 64 82 48 85 90 3 | 
(395 228) 3 90 | 30 75 56 78 72 42 37 86 | 
(125 431) 2 100 | 54 36 52 15 98 58 76 14 | 
